Neighborhood,Latitude,Longitude
Upper Manhattan,40.80881000000005,-73.94776999999993
Marble Hill,40.87641000000008,-73.91099999999994
Inwood,40.865950000000055,-73.92606999999998
Fort George,40.85918697991565,-73.9264591583874
Washington Heights,40.849830000000054,-73.93602999999996
Hudson Heights,40.73405002895801,-74.00624207962453
West Harlem,40.81570716784653,-73.93444803065148
Hamilton Heights,40.82238000000007,-73.94967999999994
Manhattanville,40.816940000000045,-73.95582999999993
Morningside Heights,40.81053000000003,-73.96205999999995
Central Harlem,40.7987563113925,-73.9536680514673
Harlem,40.80881000000005,-73.94795999999997
St. Nicholas Historic District,40.81806000000006,-73.94360999999998
Astor Row,40.729835178322894,-73.99135430558651
Sugar Hill,40.82750000000004,-73.94332999999995
Marcus Garvey Park,40.80418000000003,-73.94185999999996
Le Petit Senegal,40.804440000000056,-73.95527999999996
East Harlem,40.798280000000034,-73.94080999999994
Upper East Side,40.770620000000065,-73.95702999999997
Lenox Hill,40.82046965088581,-73.93630904842662
Carnegie Hill,40.783330000000035,-73.95471999999995
Yorkville,40.778080000000045,-73.94849999999997
Upper West Side,40.79251000000005,-73.97319999999996
Manhattan Valley,40.797045000000026,-73.96972499999998
Lincoln Square,40.77337700000004,-73.98509299999995
Columbus Circle,40.76840071331495,-73.9821077144926
Sutton Place,40.757160000000056,-73.96228999999994
Rockefeller Center,40.758500000000026,-73.97785999999996
Diamond District,40.75660000000005,-73.97859999999997
Theater District,40.76280000000003,-73.98359999999997
Turtle Bay,40.759240000000034,-73.96502999999996
Midtown East,40.75090000000006,-73.96441999999996
Midtown,40.75909000000007,-73.97668999999996
Tudor City,40.746020000000044,-73.97101999999995
Little Brazil,40.757906160283575,-73.98347767670951
Times Square,40.75648000000007,-73.98617999999993
Hudson Yards,40.753415879218956,-74.00002199373606
Midtown West,40.74977000000007,-73.99545999999998
Hell's Kitchen,40.76384800000005,-73.98832599999997
Garment District,40.75440000000003,-73.99184999999994
Herald Square,40.749886380771464,-73.98791369383045
Koreatown,40.748650000000055,-73.98809999999997
Tenderloin,40.71455000000003,-74.00713999999994
Madison Square,40.74150000000003,-73.98757999999998
Hudson Yards,40.753415879218956,-74.00002199373606
Kips Bay,40.739550000000065,-73.97707999999994
Rose Hill,40.74260000000004,-73.98374999999999
NoMad,40.72633100000007,-73.98892099999995
Peter Cooper Village,40.73472000000004,-73.97749999999996
Flatiron District,40.73942000000005,-73.99034999999998
Gramercy Park,40.73682000000008,-73.98458999999997
Stuyvesant Square,40.73410000000007,-73.98365999999999
Union Square,40.73687000000007,-73.98995999999994
Stuyvesant Town,40.732440000000054,-73.97770999999995
Meatpacking District,40.74066000000005,-74.00681999999995
Waterside Plaza,40.73751462500326,-73.97408895607236
Downtown Manhattan,40.72124000000008,-73.99763999999993
Little Germany,40.703345048568835,-73.98007992840377
Alphabet City,40.725990000000024,-73.98056999999994
East Village,40.72804000000008,-73.98498999999998
Greenwich Village,40.72856000000007,-74.00488999999999
NoHo,40.72981000000004,-73.99121999999994
Bowery,40.72328048520147,-73.99289276636517
West Village,40.73497000000003,-74.00482999999997
Lower East Side,40.71693000000005,-73.98422999999997
SoHo,40.72520000000003,-74.00414999999998
Nolita,40.72320000000008,-73.99530999999996
Little Australia,41.48021692986059,-74.77786305873055
Little Italy,40.71891000000005,-73.99608999999998
Chinatown,40.71646000000004,-73.99675999999994
Financial District,40.709010000000035,-74.01060999999999
Five Points,40.7511905965089,-73.98255629920561
Two Bridges,40.71192000000008,-73.99691999999999
Tribeca,40.718540000000075,-74.00887999999998
Civic Center,40.713370000000054,-74.00379999999996
South Street Seaport,40.70571000000007,-74.00183999999996
Battery Park City,40.711310000000026,-74.01589999999999
Little Syria,40.703345048568835,-73.98007992840377
